Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD-2024-00001,2024-04-12,2024-04-16,Same Day,CU7949,Rahul Verma,Corporate,India,Bangalore,Karnataka,560001,South,PR-TE-15311,Technology,Accessories,Mouse,92100.2,3,0.1,10111.98
2,ORD-2024-00002,2024-11-09,2024-11-14,First Class,CU2267,Riya Kumar,Corporate,India,Chennai,Tamil Nadu,600001,South,PR-FU-21394,Furniture,Bookcases,Wooden Bookcase,243570.1,10,0.15,21085.23
3,ORD-2024-00003,2024-06-15,2024-06-17,Standard Class,CU1775,Riya More,Consumer,India,Delhi,Delhi,110001,Central,PR-OS-90077,Office Supplies,Binders,File Binder,12810.25,10,0.0,1863.6
4,ORD-2025-00004,2025-01-22,2025-01-24,Same Day,CU8629,Arjun Verma,Corporate,India,Kolkata,West Bengal,700001,East,PR-OS-11016,Furniture,Furnishings,Wall Clock,23037.95,2,0.05,3398.09
5,ORD-2024-00005,2024-12-03,2024-12-08,Second Class,CU7736,Karan Shah,Consumer,India,Bangalore,Karnataka,560001,South,PR-OS-71858,Technology,Phones,Smartphone,69729.78,1,0.0,-5451.31
6,ORD-2024-00006,2024-08-18,2024-08-20,Second Class,CU9110,Amit Shah,Corporate,India,Chennai,Tamil Nadu,600001,South,PR-TE-37266,Office Supplies,Paper,Printer Paper,3224.03,1,0.3,444.21
7,ORD-2025-00007,2025-02-01,2025-02-04,First Class,CU4242,Manish Nair,Corporate,India,Chennai,Tamil Nadu,600001,South,PR-FU-43827,Office Supplies,Binders,File Binder,13641.23,3,0.0,30.92
8,ORD-2024-00008,2024-08-30,2024-09-03,Standard Class,CU8392,Vikas Yadav,Corporate,India,Pune,Maharashtra,411001,West,PR-FU-76842,Technology,Laptops,Laptop,102205.99,5,0.3,13949.33
9,ORD-2024-00009,2024-09-15,2024-09-18,Same Day,CU2853,Nisha Sharma,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-FU-49353,Technology,Phones,Android Phone,159779.03,10,0.15,10653.05
10,ORD-2025-00010,2025-01-20,2025-01-23,Standard Class,CU6249,Sachin Yadav,Corporate,India,Mumbai,Maharashtra,400001,West,PR-FU-60859,Furniture,Furnishings,Desk Lamp,12815.64,1,0.05,2655.76
11,ORD-2024-00011,2024-09-03,2024-09-07,Standard Class,CU5282,Amit Gupta,Corporate,India,Patna,Bihar,800001,East,PR-TE-61663,Office Supplies,Storage,Storage Box,16351.78,6,0.2,-1638.52
12,ORD-2025-00012,2025-02-06,2025-02-08,Standard Class,CU1262,Anjali Shah,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-26371,Office Supplies,Storage,Storage Box,3702.56,1,0.05,-87.03
13,ORD-2024-00013,2024-10-30,2024-11-03,Second Class,CU2648,Amit Verma,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-TE-63351,Office Supplies,Storage,Document Storage,40462.56,9,0.0,8607.95
14,ORD-2025-00014,2025-05-24,2025-05-25,Standard Class,CU5911,Amit Yadav,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-OS-96416,Office Supplies,Binders,File Binder,2397.84,2,0.05,341.74
15,ORD-2025-00015,2025-04-14,2025-04-19,Same Day,CU8683,Kavita Shah,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-OS-83744,Office Supplies,Storage,Document Storage,5026.67,2,0.2,-329.6
16,ORD-2024-00016,2024-02-15,2024-02-20,Standard Class,CU9319,Amit Shah,Corporate,India,Kolkata,West Bengal,700001,East,PR-TE-44584,Technology,Phones,Smartphone,696258.23,8,0.2,105478.33
17,ORD-2024-00017,2024-11-18,2024-11-20,First Class,CU6801,Vikas More,Home Office,India,Kolkata,West Bengal,700001,East,PR-OS-59689,Technology,Accessories,Headphones,765316.12,10,0.05,108246.79
18,ORD-2025-00018,2025-06-08,2025-06-12,Standard Class,CU6919,Arjun Desai,Consumer,India,Hyderabad,Telangana,500001,South,PR-OS-62921,Furniture,Furnishings,Desk Lamp,8952.21,4,0.0,1903.09
19,ORD-2024-00019,2024-11-09,2024-11-11,Standard Class,CU6315,Rohit Kumar,Consumer,India,Kolkata,West Bengal,700001,East,PR-TE-76412,Furniture,Tables,Computer Table,21677.9,6,0.1,-732.26
20,ORD-2025-00020,2025-10-17,2025-10-22,Standard Class,CU2664,Akash Desai,Consumer,India,Pune,Maharashtra,411001,West,PR-TE-26896,Technology,Laptops,Gaming Laptop,7982.62,1,0.1,1697.7
21,ORD-2024-00021,2024-04-27,2024-04-28,Standard Class,CU3744,Rohit Singh,Consumer,India,Bangalore,Karnataka,560001,South,PR-FU-71389,Office Supplies,Paper,Copy Paper,9197.17,7,0.2,-115.23
22,ORD-2024-00022,2024-04-03,2024-04-07,Second Class,CU3849,Rohit Joshi,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-75417,Technology,Laptops,Business Laptop,198063.98,5,0.15,16980.13
23,ORD-2024-00023,2024-11-20,2024-11-25,Second Class,CU6052,Amit Sharma,Consumer,India,Delhi,Delhi,110001,Central,PR-OS-48304,Technology,Accessories,Mouse,84680.49,1,0.15,897.28
24,ORD-2024-00024,2024-10-11,2024-10-16,Standard Class,CU4974,Sachin Gupta,Home Office,India,Pune,Maharashtra,411001,West,PR-TE-99588,Furniture,Tables,Dining Table,115956.43,7,0.0,3757.7
25,ORD-2025-00025,2025-01-10,2025-01-14,Second Class,CU3143,Deepak Kumar,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-OS-17357,Office Supplies,Paper,Printer Paper,18425.37,5,0.0,-697.63
26,ORD-2025-00026,2025-11-25,2025-11-30,First Class,CU1395,Deepak Joshi,Consumer,India,Patna,Bihar,800001,East,PR-FU-82936,Office Supplies,Paper,Printer Paper,1668.24,1,0.0,359.54
27,ORD-2025-00027,2025-12-18,2025-12-22,Standard Class,CU8860,Vikas More,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-31689,Technology,Phones,Smartphone,182562.43,3,0.15,26238.07
28,ORD-2024-00028,2024-05-12,2024-05-15,Standard Class,CU7938,Pooja Rao,Consumer,India,Patna,Bihar,800001,East,PR-TE-93460,Technology,Accessories,Mouse,703361.83,9,0.05,33838.87
29,ORD-2025-00029,2025-10-09,2025-10-14,Standard Class,CU5186,Riya Singh,Consumer,India,Mumbai,Maharashtra,400001,West,PR-TE-65129,Office Supplies,Paper,Notebook,24990.62,7,0.0,1973.01
30,ORD-2024-00030,2024-06-21,2024-06-26,Same Day,CU1133,Amit Singh,Corporate,India,Pune,Maharashtra,411001,West,PR-TE-46395,Technology,Laptops,Laptop,199242.68,9,0.0,15470.38
31,ORD-2024-00031,2024-05-28,2024-06-02,Same Day,CU9120,Priya Kumar,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-88859,Furniture,Bookcases,Office Bookcase,41150.5,9,0.05,9716.64
32,ORD-2024-00032,2024-12-23,2024-12-27,Standard Class,CU7132,Deepak Gupta,Consumer,India,Bangalore,Karnataka,560001,South,PR-FU-45547,Technology,Laptops,Business Laptop,197347.8,8,0.05,-1325.5
33,ORD-2025-00033,2025-06-30,2025-07-05,Second Class,CU3193,Amit Singh,Consumer,India,Kolkata,West Bengal,700001,East,PR-OS-72292,Office Supplies,Paper,Notebook,25225.03,9,0.05,-961.19
34,ORD-2025-00034,2025-11-19,2025-11-24,Second Class,CU2460,Neha Shah,Corporate,India,Mumbai,Maharashtra,400001,West,PR-OS-33524,Technology,Accessories,Headphones,77960.29,1,0.2,15584.79
35,ORD-2024-00035,2024-03-23,2024-03-24,Second Class,CU1249,Pooja Kumar,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-TE-71877,Technology,Laptops,Laptop,64047.63,3,0.2,4738.39
36,ORD-2024-00036,2024-09-24,2024-09-25,Second Class,CU5530,Rahul Jain,Home Office,India,Kolkata,West Bengal,700001,East,PR-OS-91317,Office Supplies,Binders,File Binder,34201.55,9,0.0,4265.01
37,ORD-2024-00037,2024-11-01,2024-11-03,Standard Class,CU3180,Anjali Shah,Corporate,India,Pune,Maharashtra,411001,West,PR-FU-49811,Technology,Accessories,Headphones,82262.06,2,0.15,-1577.24
38,ORD-2025-00038,2025-05-22,2025-05-26,Second Class,CU7090,Kavita Nair,Consumer,India,Bangalore,Karnataka,560001,South,PR-TE-32415,Furniture,Tables,Office Table,11247.41,2,0.2,531.97
39,ORD-2025-00039,2025-11-26,2025-11-27,Standard Class,CU7376,Neha Sharma,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-61745,Office Supplies,Storage,Storage Box,1855.56,2,0.2,-70.63
40,ORD-2024-00040,2024-03-13,2024-03-15,Standard Class,CU2276,Pooja Sharma,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-OS-10302,Technology,Laptops,Gaming Laptop,276627.61,8,0.3,36387.42
41,ORD-2025-00041,2025-04-18,2025-04-22,Standard Class,CU2531,Karan Nair,Consumer,India,Patna,Bihar,800001,East,PR-FU-98869,Technology,Laptops,Laptop,128474.07,10,0.3,15887.8
42,ORD-2025-00042,2025-09-22,2025-09-27,Second Class,CU1232,Anjali Shah,Corporate,India,Hyderabad,Telangana,500001,South,PR-FU-36734,Technology,Phones,Android Phone,130537.56,6,0.05,8342.67
43,ORD-2025-00043,2025-09-14,2025-09-15,Standard Class,CU2733,Amit Mehta,Home Office,India,Ahmedabad,Gujarat,380001,West,PR-TE-81158,Technology,Phones,Business Phone,90989.72,4,0.05,1502.7
44,ORD-2025-00044,2025-03-21,2025-03-22,Second Class,CU1117,Arjun Singh,Corporate,India,Patna,Bihar,800001,East,PR-FU-94471,Furniture,Bookcases,Office Bookcase,124663.8,5,0.15,23092.79
45,ORD-2024-00045,2024-07-12,2024-07-15,Second Class,CU7233,Arjun Sharma,Consumer,India,Bangalore,Karnataka,560001,South,PR-TE-52533,Technology,Phones,Smartphone,233183.06,6,0.05,-2915.9
46,ORD-2024-00046,2024-09-15,2024-09-16,Second Class,CU3832,Rohit Gupta,Corporate,India,Kolkata,West Bengal,700001,East,PR-FU-89767,Technology,Laptops,Laptop,207826.45,7,0.05,-1760.0
47,ORD-2024-00047,2024-04-04,2024-04-05,Standard Class,CU7413,Pooja Jain,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-TE-96740,Office Supplies,Binders,File Binder,2129.16,5,0.1,297.17
48,ORD-2024-00048,2024-03-18,2024-03-20,Standard Class,CU3192,Amit Gupta,Consumer,India,Delhi,Delhi,110001,Central,PR-FU-21246,Furniture,Tables,Office Table,45083.7,2,0.3,-460.5
49,ORD-2025-00049,2025-09-07,2025-09-10,Second Class,CU1922,Nisha Yadav,Corporate,India,Patna,Bihar,800001,East,PR-FU-20789,Furniture,Tables,Dining Table,60936.31,7,0.1,6070.72
50,ORD-2025-00050,2025-02-14,2025-02-15,Standard Class,CU4228,Nisha Verma,Corporate,India,Delhi,Delhi,110001,Central,PR-FU-24382,Technology,Laptops,Laptop,487468.4,10,0.0,34517.67
51,ORD-2025-00051,2025-02-14,2025-02-17,Standard Class,CU9554,Arjun Rao,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-85916,Technology,Laptops,Gaming Laptop,409260.5,5,0.15,6049.27
52,ORD-2025-00052,2025-09-14,2025-09-18,Standard Class,CU4368,Simran Verma,Consumer,India,Delhi,Delhi,110001,Central,PR-TE-57882,Office Supplies,Paper,Copy Paper,3501.72,8,0.05,-234.56
53,ORD-2025-00053,2025-02-08,2025-02-10,Standard Class,CU5212,Nisha Gupta,Consumer,India,Delhi,Delhi,110001,Central,PR-TE-23224,Furniture,Chairs,Office Chair,89917.49,6,0.1,504.89
54,ORD-2025-00054,2025-08-24,2025-08-27,Second Class,CU4572,Vikas Joshi,Corporate,India,Kolkata,West Bengal,700001,East,PR-FU-47148,Technology,Laptops,Gaming Laptop,41979.66,2,0.1,-2456.53
55,ORD-2024-00055,2024-06-04,2024-06-06,First Class,CU3482,Amit More,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-43719,Technology,Phones,Smartphone,8596.12,1,0.15,414.54
56,ORD-2024-00056,2024-10-11,2024-10-12,First Class,CU4335,Sneha Sharma,Consumer,India,Bangalore,Karnataka,560001,South,PR-FU-22342,Technology,Phones,Business Phone,120683.65,3,0.05,11124.78
57,ORD-2025-00057,2025-04-02,2025-04-05,First Class,CU4310,Pooja Singh,Corporate,India,Pune,Maharashtra,411001,West,PR-FU-82258,Technology,Accessories,Headphones,100206.62,2,0.2,-6541.76
58,ORD-2024-00058,2024-09-20,2024-09-22,First Class,CU9966,Vikas Rao,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-FU-12198,Furniture,Tables,Computer Table,67472.34,4,0.15,12029.7
59,ORD-2025-00059,2025-07-01,2025-07-06,Standard Class,CU2279,Rohit Mehta,Home Office,India,Pune,Maharashtra,411001,West,PR-TE-72516,Office Supplies,Storage,Storage Box,11969.78,4,0.1,-197.97
60,ORD-2024-00060,2024-12-29,2024-12-30,Same Day,CU6877,Vikas Gupta,Consumer,India,Hyderabad,Telangana,500001,South,PR-TE-61693,Technology,Accessories,Mouse,326261.12,7,0.0,49141.17
61,ORD-2024-00061,2024-04-18,2024-04-20,Standard Class,CU9041,Riya Kumar,Consumer,India,Patna,Bihar,800001,East,PR-TE-71396,Office Supplies,Binders,File Binder,14077.36,5,0.05,1724.04
62,ORD-2024-00062,2024-06-16,2024-06-18,Second Class,CU3866,Karan Sharma,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-FU-21555,Technology,Laptops,Laptop,69611.11,1,0.05,1689.99
63,ORD-2024-00063,2024-10-22,2024-10-25,Standard Class,CU2762,Sneha Nair,Corporate,India,Delhi,Delhi,110001,Central,PR-OS-22112,Office Supplies,Storage,Document Storage,4569.04,6,0.05,306.76
64,ORD-2025-00064,2025-04-26,2025-04-27,Standard Class,CU2252,Priya Shah,Consumer,India,Hyderabad,Telangana,500001,South,PR-OS-95469,Technology,Phones,Smartphone,509906.99,8,0.0,36557.73
65,ORD-2025-00065,2025-09-04,2025-09-08,Same Day,CU6604,Deepak Kumar,Home Office,India,Mumbai,Maharashtra,400001,West,PR-TE-68053,Furniture,Tables,Office Table,35250.3,7,0.0,5697.65
66,ORD-2024-00066,2024-09-24,2024-09-27,First Class,CU9007,Vikas Gupta,Consumer,India,Hyderabad,Telangana,500001,South,PR-TE-51786,Furniture,Tables,Dining Table,49240.96,10,0.0,-3387.67
